run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
baseline_B2_sobel_xy_threshold_morph_cc,0,0,324,7366,73780,13285,0.0907746531,0.3566897487,0.1447193925,0.0907746531,0.3566897487,0.1447193925,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00324.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,325,809,74467,3600,0.0107471173,0.1834883193,0.0203049507,0.0107471173,0.1834883193,0.0203049507,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00325.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,326,2979,49349,13329,0.0569293686,0.1826710817,0.0868057579,0.0569293686,0.1826710817,0.0868057579,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00326.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,327,1228,52038,8294,0.0230541058,0.1289645033,0.0391157546,0.0230541058,0.1289645033,0.0391157546,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00327.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,328,5772,86070,8287,0.0628470634,0.4105555160,0.1090074692,0.0628470634,0.4105555160,0.1090074692,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00328.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,329,1527,81128,4847,0.0184743815,0.2395669909,0.0343034292,0.0184743815,0.2395669909,0.0343034292,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00329.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,330,2544,65317,9227,0.0374883954,0.2161243735,0.0638939120,0.0374883954,0.2161243735,0.0638939120,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00330.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,331,3089,43244,10207,0.0666695444,0.2323255114,0.1036073052,0.0666695444,0.2323255114,0.1036073052,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00331.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,332,1820,67625,11323,0.0262077903,0.1384767557,0.0440741996,0.0262077903,0.1384767557,0.0440741996,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00332.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,333,68,72420,614,0.0009380863,0.0997067449,0.0018586853,0.0009380863,0.0997067449,0.0018586853,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00333.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,334,618,43980,10219,0.0138571236,0.0570268524,0.0222963832,0.0138571236,0.0570268524,0.0222963832,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00334.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,335,2895,38215,10377,0.0704208222,0.2181283906,0.1064690523,0.0704208222,0.2181283906,0.1064690523,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00335.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,336,846,66872,3285,0.0124929856,0.2047930283,0.0235493883,0.0124929856,0.2047930283,0.0235493883,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00336.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,337,688,61345,4927,0.0110908710,0.1225289403,0.0203405866,0.0110908710,0.1225289403,0.0203405866,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00337.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,338,1637,79386,7166,0.0202041396,0.1859593320,0.0364482444,0.0202041396,0.1859593320,0.0364482444,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00338.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,339,931,67848,3063,0.0135361084,0.2330996495,0.0255864125,0.0135361084,0.2330996495,0.0255864125,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00339.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,340,1939,68063,7684,0.0276992086,0.2014964148,0.0487032967,0.0276992086,0.2014964148,0.0487032967,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00340.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,341,1100,63070,6305,0.0171419667,0.1485482782,0.0307369892,0.0171419667,0.1485482782,0.0307369892,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00341.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,342,704,66266,2776,0.0105121696,0.2022988506,0.0199858055,0.0105121696,0.2022988506,0.0199858055,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00342.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,343,6689,90675,6806,0.0687009572,0.4956650611,0.1206758134,0.0687009572,0.4956650611,0.1206758134,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00343.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,344,1983,69839,8787,0.0276099245,0.1841225627,0.0480191786,0.0276099245,0.1841225627,0.0480191786,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00344.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,345,1778,89399,3074,0.0195005319,0.3664468261,0.0370304804,0.0195005319,0.3664468261,0.0370304804,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00345.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,346,3084,61859,6061,0.0474877970,0.3372334609,0.0832523486,0.0474877970,0.3372334609,0.0832523486,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00346.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,347,933,87102,3189,0.0105980576,0.2263464338,0.0202480549,0.0105980576,0.2263464338,0.0202480549,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00347.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,348,3105,56942,5387,0.0517094942,0.3656382478,0.0906053488,0.0517094942,0.3656382478,0.0906053488,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00348.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,349,3359,72762,4589,0.0441271134,0.4226220433,0.0799105497,0.0441271134,0.4226220433,0.0799105497,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00349.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,350,158,131664,1023,0.0011985860,0.1337849280,0.0023758863,0.0011985860,0.1337849280,0.0023758863,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00350.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,351,387,122175,2990,0.0031575855,0.1145987563,0.0061458325,0.0031575855,0.1145987563,0.0061458325,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00351.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,352,245,109774,1024,0.0022268881,0.1930654058,0.0044029904,0.0022268881,0.1930654058,0.0044029904,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00352.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,353,626,146397,964,0.0042578372,0.3937106918,0.0084245658,0.0042578372,0.3937106918,0.0084245658,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00353.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,354,605,140794,843,0.0042786724,0.4178176796,0.0084706014,0.0042786724,0.4178176796,0.0084706014,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00354.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,355,1076,135035,2843,0.0079053126,0.2745598367,0.0153681354,0.0079053126,0.2745598367,0.0153681354,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00355.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,356,792,131192,2842,0.0060007274,0.2179416621,0.0116798655,0.0060007274,0.2179416621,0.0116798655,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00356.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,357,157,100046,940,0.0015668194,0.1431175934,0.0030997038,0.0015668194,0.1431175934,0.0030997038,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00357.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,358,116,89311,773,0.0012971474,0.1304836895,0.0025687586,0.0012971474,0.1304836895,0.0025687586,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00358.png
