baseline_id,stage,candidate_id,gaussian_k,gaussian_sigma,median_k,canny_t1,canny_t2,sobel_k,threshold,erode_r,dilate_r,cc_area,cc_aspect,mean_f1,std_f1,min_f1,max_f1,mean_precision,mean_recall,invalid_images,elapsed_sec,stage_winner,final_winner
B0,stage1_full,47,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0639703828,0.0581488129,0.0126010587,0.1950471067,0.0340955099,0.9708857864,0,0.0107843000,0,0
B0,stage1_full,48,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0559386529,0.0519856346,0.0108912086,0.1733776000,0.0295677161,0.9888671195,0,0.0103562000,0,0
B0,stage1_full,49,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0535938002,0.0481559683,0.0108687478,0.1593411116,0.0281938754,0.9961487559,0,0.0112523000,0,0
B0,stage1_full,50,5.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0523504430,0.0461655939,0.0108681485,0.1513929157,0.0274734742,0.9988729534,0,0.0110674000,0,0
B0,stage1_full,51,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.2074544632,0.2058939330,0.0000000000,0.5649121108,0.5105391512,0.1421694972,0,0.0036616000,0,0
B0,stage1_full,52,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3432468925,0.3186029439,0.0000000000,0.7948273871,0.4550739837,0.3502445820,0,0.0022609000,0,0
B0,stage1_full,53,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3370015771,0.3350521011,0.0000000000,0.8532573501,0.4863792915,0.4390095938,0,0.0022741000,0,0
B0,stage1_full,54,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3042178321,0.2955670787,0.0000000000,0.8823816496,0.4705102095,0.5090229268,0,0.0022954000,0,0
B0,stage1_full,55,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3528253390,0.2510769623,0.0366122431,0.8917673839,0.3714042332,0.6516766235,0,0.0022622000,0,0
B0,stage1_full,56,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1479428496,0.1040519357,0.0256630824,0.4708593833,0.0847464451,0.8837946983,0,0.0027764000,0,0
B0,stage1_full,57,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0636086940,0.0576891997,0.0124994889,0.1935725445,0.0338784865,0.9730998692,0,0.0022753000,0,0
B0,stage1_full,58,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0556165731,0.0514686533,0.0108918452,0.1716417075,0.0293771914,0.9900669314,0,0.0026731000,0,0
B0,stage1_full,59,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0533568749,0.0477723510,0.0108684209,0.1579410941,0.0280562314,0.9967587891,0,0.0022808000,0,0
B0,stage1_full,60,5.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0522529609,0.0460140226,0.0108681485,0.1507726301,0.0274170867,0.9991259433,0,0.0022406000,0,0
B0,stage1_full,61,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.2301407198,0.2170462806,0.0000000000,0.5773631726,0.5284105822,0.1697146707,0,0.0024553000,0,0
B0,stage1_full,62,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3339308561,0.3212257793,0.0000000000,0.7997250229,0.4335860500,0.3638021525,0,0.0026833000,0,0
